Sample #,Inference Time (ms),Timestamp
1,103.536,15:03:12
2,106.082,15:03:12
3,103.55,15:03:12
4,103.939,15:03:12
5,105.374,15:03:12
6,104.231,15:03:12
7,105.317,15:03:12
8,104.026,15:03:12
9,105.85,15:03:12
10,103.774,15:03:12
11,105.788,15:03:12
12,103.399,15:03:12
13,106.045,15:03:12
14,103.615,15:03:12
15,103.967,15:03:12
16,105.429,15:03:12
17,104.005,15:03:12
18,105.427,15:03:12
19,104.337,15:03:12
20,105.571,15:03:12
21,103.834,15:03:12
22,105.821,15:03:12
23,103.35,15:03:12
24,105.624,15:03:12
25,103.376,15:03:12
26,106.082,15:03:12
27,103.552,15:03:12
28,103.937,15:03:12
29,105.381,15:03:12
30,104.241,15:03:12
31,105.293,15:03:12
32,104.018,15:03:12
33,105.871,15:03:12
34,103.788,15:03:12
35,105.754,15:03:12
36,103.405,15:03:12
37,106.027,15:03:12
38,103.62,15:03:12
39,103.963,15:03:12
40,105.431,15:03:12
41,104.018,15:03:12
42,105.41,15:03:12
43,104.315,15:03:12
44,105.598,15:03:12
45,103.839,15:03:12
46,105.785,15:03:12
47,103.332,15:03:12
48,105.64,15:03:12
49,103.391,15:03:12
50,106.07,15:03:12
51,103.546,15:03:12
52,103.943,15:03:12
53,105.386,15:03:12
54,104.242,15:03:12
55,105.29,15:03:12
56,104.027,15:03:12
57,105.831,15:03:12
58,103.786,15:03:12
59,105.774,15:03:12
60,103.39,15:03:12
61,106.054,15:03:12
62,103.601,15:03:12
63,103.966,15:03:12
64,105.423,15:03:12
65,103.993,15:03:12
66,105.441,15:03:12
67,104.322,15:03:12
68,105.551,15:03:12
69,103.84,15:03:12
70,105.78,15:03:12
71,103.315,15:03:12
72,105.627,15:03:12
73,103.409,15:03:12
74,106.088,15:03:12
75,103.564,15:03:12
76,103.926,15:03:12
77,105.383,15:03:12
78,104.194,15:03:12
79,105.293,15:03:12
80,104.033,15:03:12
81,105.839,15:03:12
82,103.788,15:03:12
83,105.771,15:03:12
84,103.409,15:03:12
85,106.052,15:03:12
86,103.616,15:03:12
87,103.936,15:03:12
88,105.43,15:03:12
89,104.013,15:03:12
90,105.431,15:03:12
91,104.325,15:03:12
92,105.563,15:03:12
93,103.829,15:03:12
94,105.804,15:03:12
95,103.351,15:03:12
96,105.613,15:03:12
97,103.384,15:03:12
98,106.074,15:03:12
99,103.554,15:03:12
100,103.922,15:03:12

Min (ms),103.315
Max (ms),106.088
Average (ms),104.638
Samples collected,100
