frame,transfer_ms,inference_ms,total_ms
0,8.86,9.68,18.54
1,9.99,7.06,17.04
2,12.77,4.28,17.05
3,16.33,3.02,19.35
4,18.8,2.78,21.58
5,18.78,2.84,21.63
6,18.16,2.73,20.88
7,18.63,2.92,21.55
8,19.02,2.77,21.79
9,17.98,2.68,20.66
10,18.69,2.68,21.37
11,18.4,2.61,21.01
12,13.44,2.6,16.05
13,13.3,2.56,15.86
14,12.41,2.64,15.04
15,12.79,2.85,15.63
16,16.76,2.65,19.41
17,16.93,2.55,19.48
18,16.91,2.69,19.6
19,17.25,2.59,19.84
20,18.07,2.58,20.65
21,16.84,2.89,19.73
22,16.46,2.66,19.12
23,17.98,2.63,20.61
24,17.0,2.57,19.57
25,16.73,2.54,19.27
26,12.35,2.52,14.87
27,17.09,2.55,19.65
28,18.08,2.7,20.77
29,17.48,2.59,20.07
30,16.89,2.64,19.53
31,15.84,2.56,18.39
32,12.08,2.63,14.72
33,12.32,2.55,14.86
34,12.18,2.55,14.73
35,12.43,2.53,14.96
36,12.01,2.68,14.69
37,12.21,2.61,14.82
38,12.56,2.57,15.12
39,12.28,2.71,14.99
40,12.29,2.53,14.81
41,12.06,2.6,14.67
42,12.23,2.54,14.77
43,12.5,2.67,15.17
44,14.12,2.58,16.7
45,17.26,2.82,20.07
46,17.86,2.67,20.53
47,18.53,2.93,21.45
48,17.3,4.88,22.18
49,17.51,3.56,21.07
50,17.86,5.52,23.39
51,17.81,4.28,22.09
52,16.22,5.84,22.05
53,18.24,13.02,31.27
54,17.26,7.16,24.42
55,17.75,5.71,23.46
56,17.92,12.78,30.7
57,17.96,6.32,24.28
58,16.3,6.29,22.59
59,17.05,4.92,21.97
60,17.44,3.11,20.55
61,17.62,3.03,20.65
62,18.1,5.64,23.74
63,17.51,15.03,32.54
64,21.23,9.29,30.52
65,17.07,11.52,28.59
66,18.49,30.38,48.86
67,22.71,11.01,33.73
68,12.16,2.92,15.07
69,17.95,6.59,24.53
70,15.51,2.77,18.28
71,16.99,2.57,19.56
72,16.6,2.58,19.19
73,14.73,2.51,17.25
74,15.22,2.56,17.78
75,17.25,2.54,19.79
76,16.98,2.6,19.58
77,16.71,2.59,19.3
78,16.85,2.68,19.53
79,12.36,2.81,15.17
80,16.46,2.61,19.07
81,16.72,2.53,19.25
82,16.83,2.52,19.35
83,16.85,2.56,19.41
84,17.2,2.51,19.71
85,13.29,2.51,15.8
86,16.67,2.56,19.23
87,17.75,2.67,20.42
88,13.32,2.58,15.9
89,13.54,3.11,16.65
90,13.62,2.73,16.35
91,18.25,2.69,20.94
92,19.32,2.76,22.08
93,18.21,2.58,20.79
94,17.93,2.77,20.7
95,16.42,3.52,19.94
96,18.42,2.69,21.12
97,16.73,2.59,19.32
98,15.38,2.53,17.91
99,12.49,2.53,15.02
